id,image,back_camera,chips,id_api,liked,max_price,min_price,name,operational_system,rating,rating_number,screen_size,brand,type
7516,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-htc-tattoo_200x200-PU33f5e_1.jpg,3.2,Single Chip,212830,0,NULL,NULL,Smartphone HTC Tattoo,Android,0,1,2.8,HTC,Smartphone
7517,http://thumbs.buscape.com.br/celular-e-smartphone/celular-powerpack-tctv-588_200x200-PU3506d_1.jpg,8.0,Dual Chip,217197,0,NULL,NULL,Celular Powerpack TCTV-588,NULL,8,1,2.4,Powerpack,Celular
7518,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-htc-hd2_200x200-PU35790_1.jpg,5.0,Single Chip,219024,0,NULL,NULL,Smartphone HTC HD2,Windows Mobile,8,1,4.3,HTC,Smartphone
7519,http://thumbs.buscape.com.br/celular-e-smartphone/celular-lg-bl20-new-chocolate_200x200-PU37bc1_1.jpg,5.0,Single Chip,228289,0,NULL,NULL,Celular LG BL20 New Chocolate,NULL,10,1,2.4,LG,Celular
7520,http://thumbs.buscape.com.br/celular-e-smartphone/celular-nokia-6303_200x200-PU39629_1.jpg,3.15,Single Chip,235049,0,NULL,NULL,Celular Nokia 6303,NULL,10,1,2.2,Nokia,Celular
7521,http://thumbs.buscape.com.br/celular-e-smartphone/celular-sony-ericsson-t707_200x200-PU419b6_1.jpg,3.15,Single Chip,268726,0,NULL,NULL,Celular Sony Ericsson T707,NULL,10,1,2.2,Sony,Celular
7522,http://thumbs.buscape.com.br/celular-e-smartphone/celular-hiphone-f030_200x200-PU41d25_1.jpg,12.1,Dual Chip,269605,0,NULL,NULL,Celular HiPhone F030,NULL,6,1,NULL,HiPhone,Celular
7523,http://thumbs.buscape.com.br/celular-e-smartphone/celular-motorola-karma-qa1_200x200-PU42a64_1.jpg,2.0,Single Chip,272996,0,NULL,NULL,Celular Motorola Karma QA1,NULL,8,1,2.5,Motorola,Celular
7524,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-htc-wildfire_100x100-PU43448_1.jpg,5.0,Single Chip,275528,0,NULL,NULL,Smartphone HTC Wildfire,Android,8,1,3.2,HTC,Smartphone
7525,http://thumbs.buscape.com.br/celular-e-smartphone/celular-vaic-c5700_200x200-PU45324_1.jpg,NULL,Dual Chip,283428,0,NULL,NULL,Celular Vaic C5700,NULL,10,1,NULL,Vaic,Celular
7526,http://thumbs.buscape.com.br/celular-e-smartphone/celular-vaic-f-160_200x200-PU47a09_1.jpg,1.2,Quadri Chip,293385,0,NULL,NULL,Celular Vaic F-160,NULL,10,1,2.0,Vaic,Celular
7527,http://thumbs.buscape.com.br/celular-e-smartphone/celular-zte-x960_200x200-PU48bf9_1.jpg,2.0,Single Chip,297977,0,NULL,NULL,Celular ZTE X960,NULL,10,1,2.8,ZTE,Celular
7528,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-htc-hd7_200x200-PU48e7a_1.jpg,5.0,Single Chip,298618,0,NULL,NULL,Smartphone HTC HD7,Windows Phone,8,1,4.3,HTC,Smartphone
7529,http://thumbs.buscape.com.br/celular-e-smartphone/celular-sony-ericsson-hazel_200x200-PU4abe9_1.jpg,5.0,Single Chip,306153,0,NULL,NULL,Celular Sony Ericsson Hazel,NULL,6,1,2.6,Sony,Celular
7530,http://thumbs.buscape.com.br/celular-e-smartphone/celular-lg-gr500_200x200-PU4c7bf_1.jpg,2.0,Single Chip,313279,0,NULL,NULL,Celular LG GR500,NULL,8,1,2.8,LG,Celular
7531,http://thumbs.buscape.com.br/celular-e-smartphone/celular-lg-gx300_200x200-PU52166_1.jpg,2.0,Dual Chip,336230,0,NULL,NULL,Celular LG GX300,NULL,6,1,2.2,LG,Celular
7532,http://thumbs.buscape.com.br/celular-e-smartphone/celular-motorola-i420_200x200-PU54091_1.jpg,3.0,Single Chip,344209,0,NULL,NULL,Celular Motorola I420,NULL,10,1,1.79,Motorola,Celular
7533,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-flipside_200x200-PU54734_1.jpg,3.15,NULL,345908,0,NULL,NULL,Smartphone Motorola Flipside,NULL,8,1,3.1,Motorola,Smartphone
7534,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-focus-sgh-i917_200x200-PU54736_1.jpg,5.0,Single Chip,345910,0,NULL,NULL,Smartphone Samsung Focus SGH-I917,Windows Phone,8,1,4.0,Samsung,Smartphone
7535,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-wave-ii-gt-s8530_200x200-PU55bb6_1.jpg,5.0,NULL,351158,0,NULL,NULL,Smartphone Samsung Wave II GT-S8530,NULL,8,1,3.7,Samsung,Smartphone
7536,http://thumbs.buscape.com.br/celular-e-smartphone/celular-motorola-i440_200x200-PU5bc01_1.jpg,1.3,NULL,375809,0,NULL,NULL,Celular Motorola i440,NULL,10,1,1.79,Motorola,Celular
7537,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-sony-xperia-mint_200x200-PU67c0d_1.jpg,13.0,NULL,424973,0,NULL,NULL,Smartphone Sony Xperia Mint,Android,4,1,4.3,Sony,Smartphone
7538,http://thumbs.buscape.com.br/celular-e-smartphone/celular-octo-t90_600x600-PU687c7_1.jpg,NULL,NULL,427975,0,NULL,NULL,Celular OCTO T90,NULL,6,1,NULL,OCTO,Celular
7539,http://thumbs.buscape.com.br/celular-e-smartphone/celular-samsung-gt-e1080_600x600-PU694be_1.jpg,NULL,NULL,431294,0,NULL,NULL,Celular Samsung GT-E1080,NULL,2,1,NULL,Samsung,Celular
7540,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-optimus-net-p690_200x200-PU6ce68_1.jpg,3.15,NULL,446056,0,NULL,NULL,Smartphone LG Optimus Net P690,Android,8,1,3.2,LG,Smartphone
7541,http://thumbs.buscape.com.br/celular-e-smartphone/celular-blu-deejay-touch-s210_200x200-PU6e721_1.jpg,1.3,NULL,452385,0,NULL,NULL,Celular BLU Deejay Touch S210,NULL,8,1,2.6,BLU,Celular
7542,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-semp-toshiba-cs-40g_200x200-PU786a0_1.jpg,5.0,Dual Chip,493216,0,NULL,NULL,Smartphone Semp Toshiba CS 40G,Android,10,1,4.0,Semp,Smartphone
7543,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-semp-toshiba-cs-35g_200x200-PU789da_1.jpg,5.0,NULL,494042,0,NULL,NULL,Smartphone Semp Toshiba CS 35G,Android,10,1,3.5,Semp,Smartphone
7544,http://thumbs.buscape.com.br/celular-e-smartphone/celular-freecel-duo-tv_200x200-PU7b2db_1.jpg,NULL,NULL,504539,0,NULL,NULL,Celular Freecel Duo TV,NULL,6,1,NULL,Freecel,Celular
